data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,1.0,0.0,35.0,4.0,40.0,,2.636232143305636,0.4636476090008061
2025-06-03--11h-46m-15s,1.0,1.0,37.0,1.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,3.0,0.0,33.0,4.0,40.0,,2.540998526723742,0.7137243789447656
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,5.0,0.0,31.0,4.0,40.0,,2.457511421794464,0.8410686705679303
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,4.0,0.0,36.0,0.0,40.0,,2.6905658417935308,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,1.0,34.0,3.0,40.0,,2.540998526723742,0.684719203002283
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,1.0,0.0,35.0,4.0,40.0,,2.636232143305636,0.4636476090008061
2025-06-03--11h-46m-15s,6.0,0.0,31.0,3.0,40.0,,2.457511421794464,0.9553166181245093
2025-06-03--11h-46m-15s,5.0,0.0,33.0,2.0,40.0,,2.540998526723742,1.0068536854342678
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,5.0,0.0,32.0,3.0,40.0,,2.498091544796509,0.9117382909684876
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,4.0,0.0,35.0,1.0,40.0,,2.636232143305636,1.1071487177940904
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,1.0,0.0,35.0,4.0,40.0,,2.636232143305636,0.4636476090008061
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-06-03--11h-46m-15s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,3.0,0.0,34.0,3.0,40.0,,2.5867816206097216,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,33.0,5.0,40.0,,2.540998526723742,0.5639426413606289
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,0.0,1.0,35.0,4.0,40.0,,2.5867816206097216,0.0
2025-06-03--11h-46m-15s,5.0,0.0,34.0,1.0,40.0,,2.5867816206097216,1.1502619915109316
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,5.0,0.0,34.0,1.0,40.0,,2.5867816206097216,1.1502619915109316
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,2.0,0.0,34.0,4.0,40.0,,2.5867816206097216,0.6154797086703874
2025-06-03--11h-46m-15s,4.0,0.0,36.0,0.0,40.0,,2.6905658417935308,1.5707963267948966
2025-06-03--11h-46m-15s,5.0,0.0,35.0,0.0,40.0,,2.636232143305636,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,5.0,0.0,31.0,4.0,40.0,,2.457511421794464,0.8410686705679303
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,4.0,0.0,33.0,3.0,40.0,,2.540998526723742,0.857071947850131
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,1.0,1.0,35.0,3.0,40.0,,2.5867816206097216,0.5235987755982988
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,0.0,0.0,35.0,5.0,40.0,,2.636232143305636,0.0
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,3.0,1.0,33.0,3.0,40.0,,2.498091544796509,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,1.0,36.0,1.0,40.0,,2.636232143305636,0.9553166181245093
2025-06-03--11h-46m-15s,5.0,0.0,34.0,1.0,40.0,,2.5867816206097216,1.1502619915109316
2025-06-03--11h-46m-15s,5.0,0.0,33.0,2.0,40.0,,2.540998526723742,1.0068536854342678
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,4.0,0.0,35.0,1.0,40.0,,2.636232143305636,1.1071487177940904
2025-06-03--11h-46m-15s,5.0,0.0,34.0,1.0,40.0,,2.5867816206097216,1.1502619915109316
2025-06-03--11h-46m-15s,4.0,0.0,36.0,0.0,40.0,,2.6905658417935308,1.5707963267948966
2025-06-03--11h-46m-15s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-06-03--11h-46m-15s,0.0,0.0,36.0,4.0,40.0,,2.6905658417935308,0.0
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,0.0,0.0,37.0,3.0,40.0,,2.7518319207923185,0.0
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,1.0,0.0,35.0,4.0,40.0,,2.636232143305636,0.4636476090008061
2025-06-03--11h-46m-15s,4.0,0.0,35.0,1.0,40.0,,2.636232143305636,1.1071487177940904
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,4.0,1.0,31.0,4.0,40.0,,2.4188584057763776,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,34.0,4.0,40.0,,2.5867816206097216,0.6154797086703874
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,6.0,0.0,32.0,2.0,40.0,,2.498091544796509,1.0471975511965976
2025-06-03--11h-46m-15s,2.0,0.0,34.0,4.0,40.0,,2.5867816206097216,0.6154797086703874
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,0.0,0.0,37.0,3.0,40.0,,2.7518319207923185,0.0
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,5.0,0.0,33.0,2.0,40.0,,2.540998526723742,1.0068536854342678
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,5.0,0.0,30.0,5.0,40.0,,2.4188584057763776,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,0.0,0.0,36.0,4.0,40.0,,2.6905658417935308,0.0
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,2.0,0.0,32.0,6.0,40.0,,2.498091544796509,0.5235987755982988
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,0.0,1.0,36.0,3.0,40.0,,2.636232143305636,0.0
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-06-03--11h-46m-15s,5.0,0.0,32.0,3.0,40.0,,2.498091544796509,0.9117382909684876
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,6.0,0.0,33.0,1.0,40.0,,2.540998526723742,1.183199640139716
2025-06-03--11h-46m-15s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,4.0,0.0,35.0,1.0,40.0,,2.636232143305636,1.1071487177940904
2025-06-03--11h-46m-15s,1.0,1.0,37.0,1.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,3.0,0.0,34.0,3.0,40.0,,2.5867816206097216,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,4.0,0.0,36.0,0.0,40.0,,2.6905658417935308,1.5707963267948966
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,0.0,0.0,37.0,3.0,40.0,,2.7518319207923185,0.0
2025-06-03--11h-46m-15s,6.0,0.0,33.0,1.0,40.0,,2.540998526723742,1.183199640139716
2025-06-03--11h-46m-15s,3.0,1.0,35.0,1.0,40.0,,2.5867816206097216,1.0471975511965976
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,3.0,1.0,36.0,0.0,40.0,,2.636232143305636,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,3.0,0.0,33.0,4.0,40.0,,2.540998526723742,0.7137243789447656
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,4.0,0.0,34.0,2.0,40.0,,2.5867816206097216,0.9553166181245093
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,34.0,3.0,40.0,,2.5867816206097216,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,34.0,3.0,40.0,,2.5867816206097216,0.7853981633974483
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,5.0,0.0,31.0,4.0,40.0,,2.457511421794464,0.8410686705679303
2025-06-03--11h-46m-15s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,1.0,1.0,37.0,1.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-06-03--11h-46m-15s,4.0,0.0,33.0,3.0,40.0,,2.540998526723742,0.857071947850131
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,4.0,0.0,36.0,0.0,40.0,,2.6905658417935308,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,5.0,0.0,33.0,2.0,40.0,,2.540998526723742,1.0068536854342678
2025-06-03--11h-46m-15s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,1.0,0.0,35.0,4.0,40.0,,2.636232143305636,0.4636476090008061
2025-06-03--11h-46m-15s,0.0,0.0,36.0,4.0,40.0,,2.6905658417935308,0.0
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,4.0,0.0,33.0,3.0,40.0,,2.540998526723742,0.857071947850131
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,1.0,1.0,35.0,3.0,40.0,,2.5867816206097216,0.5235987755982988
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,3.0,1.0,34.0,2.0,40.0,,2.540998526723742,0.8860771237926136
2025-06-03--11h-46m-15s,4.0,0.0,35.0,1.0,40.0,,2.636232143305636,1.1071487177940904
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,5.0,0.0,35.0,0.0,40.0,,2.636232143305636,1.5707963267948966
2025-06-03--11h-46m-15s,4.0,1.0,34.0,1.0,40.0,,2.540998526723742,1.1071487177940904
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-06-03--11h-46m-15s,3.0,0.0,33.0,4.0,40.0,,2.540998526723742,0.7137243789447656
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,5.0,0.0,34.0,1.0,40.0,,2.5867816206097216,1.1502619915109316
2025-06-03--11h-46m-15s,6.0,0.0,34.0,0.0,40.0,,2.5867816206097216,1.5707963267948966
2025-06-03--11h-46m-15s,6.0,0.0,34.0,0.0,40.0,,2.5867816206097216,1.5707963267948966
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,4.0,0.0,31.0,5.0,40.0,,2.457511421794464,0.7297276562269663
2025-06-03--11h-46m-15s,4.0,0.0,36.0,0.0,40.0,,2.6905658417935308,1.5707963267948966
2025-06-03--11h-46m-15s,5.0,0.0,33.0,2.0,40.0,,2.540998526723742,1.0068536854342678
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,1.0,33.0,4.0,40.0,,2.498091544796509,0.6154797086703874
2025-06-03--11h-46m-15s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-06-03--11h-46m-15s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,4.0,0.0,33.0,3.0,40.0,,2.540998526723742,0.857071947850131
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,36.0,2.0,40.0,,2.6905658417935308,0.7853981633974483
2025-06-03--11h-46m-15s,2.0,0.0,35.0,3.0,40.0,,2.636232143305636,0.684719203002283
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
2025-06-03--11h-46m-15s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-06-03--11h-46m-15s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-06-03--11h-46m-15s,1.0,0.0,35.0,4.0,40.0,,2.636232143305636,0.4636476090008061
2025-06-03--11h-46m-15s,4.0,0.0,33.0,3.0,40.0,,2.540998526723742,0.857071947850131
2025-06-03--11h-46m-15s,3.0,0.0,35.0,2.0,40.0,,2.636232143305636,0.8860771237926136
2025-06-03--11h-46m-15s,3.0,0.0,36.0,1.0,40.0,,2.6905658417935308,1.0471975511965976
2025-06-03--11h-46m-15s,3.0,0.0,37.0,0.0,40.0,,2.7518319207923185,1.5707963267948966
2025-06-03--11h-46m-15s,2.0,0.0,37.0,1.0,40.0,,2.7518319207923185,0.9553166181245093
